label,precision,recall,f1-score,support
admiration,0.6259,0.6692,0.6468,130
annoyance,0.7614,0.8121,0.7859,165
disappointment,0.6625,0.5824,0.6199,91
disgust,0.0,0.0,0.0,2
gratitude,0.0,0.0,0.0,0
mentioned_only,0.7709,0.8389,0.8035,329
mixed_emotions,0.0,0.0,0.0,0
neutral,0.4,0.2034,0.2697,59
satisfaction,0.534,0.5,0.5164,110
accuracy,0.6964,0.6964,0.6964,0
macro avg,0.4172,0.4007,0.4047,886
weighted avg,0.6809,0.6964,0.6854,886
