label,precision,recall,f1-score,support
admiration,0.5897,0.6106,0.6,113
annoyance,0.7939,0.7529,0.7729,174
disappointment,0.5287,0.5349,0.5318,86
disgust,0.1429,0.3333,0.2,3
gratitude,0.0,0.0,0.0,2
mentioned_only,0.8451,0.6936,0.7619,346
mixed_emotions,0.0,0.0,0.0,1
neutral,0.2247,0.4255,0.2941,47
satisfaction,0.5395,0.6357,0.5836,129
accuracy,0.6537,0.6537,0.6537,0
macro avg,0.4072,0.4429,0.416,901
weighted avg,0.6917,0.6537,0.6674,901
