label,precision,recall,f1-score,support
admiration,0.6364,0.6462,0.6412,130
annoyance,0.8,0.7515,0.775,165
disappointment,0.5684,0.5934,0.5806,91
disgust,0.0,0.0,0.0,2
gratitude,0.0,0.0,0.0,0
mentioned_only,0.8471,0.6565,0.7397,329
mixed_emotions,0.0,0.0,0.0,0
neutral,0.2842,0.4576,0.3506,59
satisfaction,0.4221,0.5909,0.4924,110
accuracy,0.6433,0.6433,0.6433,0
macro avg,0.3953,0.4107,0.3977,886
weighted avg,0.6866,0.6433,0.6572,886
