label,precision,recall,f1-score,support
admiration,0.5595,0.7231,0.6309,130
annoyance,0.8105,0.7515,0.7799,165
disappointment,0.5699,0.5824,0.5761,91
disgust,0.0,0.0,0.0,2
gratitude,0.0,0.0,0.0,0
mentioned_only,0.8094,0.6839,0.7414,329
mixed_emotions,0.0,0.0,0.0,0
neutral,0.2791,0.4068,0.331,59
satisfaction,0.4907,0.4818,0.4862,110
accuracy,0.6467,0.6467,0.6467,0
macro avg,0.391,0.4033,0.3939,886
weighted avg,0.6716,0.6467,0.6547,886
