label,precision,recall,f1-score,support
admiration,0.5392,0.6962,0.6077,158
annoyance,0.7409,0.7719,0.7561,263
disappointment,0.6706,0.4286,0.5229,133
neutral,0.7875,0.7975,0.7925,632
satisfaction,0.4903,0.4529,0.4709,223
accuracy,0.692,0.692,0.692,0
macro avg,0.6457,0.6294,0.63,1409
weighted avg,0.6929,0.692,0.6886,1409
