,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,103,0,0,0,0,0,0,1,4
G_ANN,0,86,0,0,0,0,0,0,0
G_DIS,0,2,114,1,0,0,0,0,0
G_DGS,0,0,0,4,0,0,0,0,0
G_GRT,4,0,0,0,2,0,0,0,0
G_MNT,0,0,0,0,0,97,0,0,0
G_MIX,0,0,0,0,0,0,10,0,0
G_NEU,1,0,0,0,0,7,0,35,0
G_SAT,1,0,0,0,0,0,0,0,65
