,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_ANN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_DIS,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0078125,0.0
G_DGS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G_GRT,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
G_MNT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G_MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
G_NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
G_SAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
