,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_ANN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_DIS,0.0,0.008928571428571428,0.9910714285714286,0.0,0.0,0.0,0.0,0.0,0.0
G_DGS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G_GRT,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
G_MNT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G_MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
G_NEU,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
G_SAT,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830508474576272
