,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,105,0,0,0,0,0,0,0,0
G_ANN,0,78,0,0,0,0,0,0,0
G_DIS,0,1,111,0,0,0,0,0,0
G_DGS,0,0,0,5,0,0,0,0,0
G_GRT,2,0,0,0,3,0,0,0,0
G_MNT,0,0,0,0,0,81,0,0,0
G_MIX,0,0,0,0,0,0,7,0,0
G_NEU,0,0,0,0,0,6,0,30,0
G_SAT,1,0,0,0,0,0,0,0,58
