,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,65,0,0,0,2,0,0,0,11
G_ANN,0,48,22,0,0,0,0,0,0
G_DIS,0,5,104,4,0,0,0,1,0
G_DGS,0,0,0,5,0,0,0,0,0
G_GRT,0,0,0,0,6,0,0,0,0
G_MNT,0,0,0,0,0,44,0,35,0
G_MIX,0,0,0,0,0,0,1,1,0
G_NEU,0,0,0,0,0,4,2,29,2
G_SAT,11,0,0,0,0,0,0,0,39
