,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,0.8333333333333334,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.14102564102564102
G_ANN,0.0,0.6857142857142857,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
G_DIS,0.0,0.043859649122807015,0.9122807017543859,0.03508771929824561,0.0,0.0,0.0,0.008771929824561403,0.0
G_DGS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G_GRT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
G_MNT,0.0,0.0,0.0,0.0,0.0,0.5569620253164557,0.0,0.4430379746835443,0.0
G_MIX,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
G_NEU,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.05405405405405406,0.7837837837837838,0.05405405405405406
G_SAT,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
