label,precision,recall,f1-score,support
admiration,0.6067,0.7,0.65,130
annoyance,0.7371,0.8667,0.7967,165
disappointment,0.6506,0.5934,0.6207,91
disgust,0.0,0.0,0.0,2
gratitude,0.0,0.0,0.0,0
mentioned_only,0.7718,0.7812,0.7764,329
mixed_emotions,0.0,0.0,0.0,0
neutral,0.5,0.1017,0.169,59
satisfaction,0.4123,0.4273,0.4196,110
accuracy,0.6749,0.6749,0.6749,0
macro avg,0.4087,0.3856,0.3814,886
weighted avg,0.6642,0.6749,0.6592,886
