label,precision,recall,f1-score,support
admiration,0.5652,0.7405,0.6411,158
annoyance,0.7103,0.7833,0.745,263
disappointment,0.6186,0.5489,0.5817,133
disgust,0.0,0.0,0.0,5
gratitude,0.0,0.0,0.0,0
mentioned_only,0.7452,0.7642,0.7546,509
mixed_emotions,0.0,0.0,0.0,5
neutral,0.381,0.1416,0.2065,113
satisfaction,0.5043,0.5202,0.5121,223
accuracy,0.6508,0.6508,0.6508,0
macro avg,0.3916,0.3887,0.3823,1409
weighted avg,0.6339,0.6508,0.6361,1409
