label,precision,recall,f1-score,support
admiration,0.6474,0.6392,0.6433,158
annoyance,0.6973,0.7795,0.7361,263
disappointment,0.6172,0.594,0.6054,133
disgust,0.0,0.0,0.0,5
gratitude,0.0,0.0,0.0,0
mentioned_only,0.7155,0.8153,0.7622,509
mixed_emotions,0.0,0.0,0.0,5
neutral,0.3421,0.115,0.1722,113
satisfaction,0.5399,0.5157,0.5275,223
accuracy,0.6586,0.6586,0.6586,0
macro avg,0.3955,0.3843,0.383,1409
weighted avg,0.6324,0.6586,0.6393,1409
