label,precision,recall,f1-score,support
admiration,0.5111,0.7278,0.6005,158
annoyance,0.6544,0.8137,0.7254,263
disappointment,0.5545,0.4586,0.5021,133
disgust,0.0,0.0,0.0,5
gratitude,0.0,0.0,0.0,0
mentioned_only,0.732,0.7407,0.7363,509
mixed_emotions,0.0,0.0,0.0,5
neutral,0.3333,0.0708,0.1168,113
satisfaction,0.4567,0.426,0.4408,223
accuracy,0.6175,0.6175,0.6175,0
macro avg,0.3602,0.3597,0.3469,1409
weighted avg,0.5953,0.6175,0.5953,1409
